trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
54,False,"{'a': 0.6896000057363996, 'e': 0.7758000064534488}",20,0,-40.538382011487116,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
55,False,"{'a': 0.6858176168091665, 'e': 0.7715448189103117}",20,0,-51.32247427427993,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.6819877717299136, 'e': 0.7672362431961522}",35,0,-152.992629118648,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
57,False,"{'a': 0.6781114993024733, 'e': 0.7628754367152818}",25,0,-134.37694631632343,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
58,False,"{'a': 0.6741898364225927, 'e': 0.7584635659754162}",20,0,-111.34212038981596,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
59,False,"{'a': 0.6702238276183956, 'e': 0.7540018060706946}",20,0,-25.261857785843347,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
60,False,"{'a': 0.6662145245896732, 'e': 0.7494913401633819}",30,5,-87.81865554953343,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",1
61,False,"{'a': 0.6621629857462874, 'e': 0.7449333589645729}",20,0,-132.2105914582512,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
62,False,"{'a': 0.6580702757459674, 'e': 0.7403290602142129}",25,0,-244.1208915584231,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 6}",0
63,False,"{'a': 0.65393746503178, 'e': 0.7356796481607519}",30,7,-53.79202058655737,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
64,False,"{'a': 0.6497656293695517, 'e': 0.7309863330407451}",20,2,-85.43291681181799,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 1}",1
65,False,"{'a': 0.645555849385521, 'e': 0.7262503305587106}",20,0,2.379147690652376,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
66,False,"{'a': 0.6413092101044934, 'e': 0.7214728613675545}",20,2,-6.099700870907892,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.6370268004887746, 'e': 0.7166551505498708}",25,0,-78.20394306900259,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
68,False,"{'a': 0.6327097129781514, 'e': 0.7117984271004197}",20,0,-93.8738124575956,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
69,False,"{'a': 0.6283590430311885, 'e': 0.7069039234100865}",20,0,-39.6190644951034,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.6239758886681067, 'e': 0.7019728747516194}",25,0,-60.699425278217895,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
71,False,"{'a': 0.6195613500155055, 'e': 0.697006518767443}",25,5,-31.229995410281745,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.615116528853189, 'e': 0.692006094959837}",30,0,-40.448548474943955,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
73,False,"{'a': 0.6106425281633524, 'e': 0.6869728441837708}",30,5,-67.49411790074913,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",1
74,False,"{'a': 0.6061404516823802, 'e': 0.681908008142677}",20,0,-66.77368355761772,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
75,False,"{'a': 0.6016114034555068, 'e': 0.6768128288874444}",20,8,-40.71735138287607,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.5970564873945846, 'e': 0.671688548318907}",20,2,-80.27156367905731,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
77,False,"{'a': 0.5924768068392006, 'e': 0.6665364076940999}",25,0,-156.9125963519126,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
78,False,"{'a': 0.5878734641213782, 'e': 0.6613576471365499}",20,12,1.404019405644727,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5832475601340997, 'e': 0.6561535051508616}",20,7,3.4869745824927727,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5786001939038746, 'e': 0.6509252181418583}",20,0,-91.18846747221244,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
81,False,"{'a': 0.5739324621675805, 'e': 0.6456740199385276}",25,16,-15.665073544564935,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.5692454589537949, 'e': 0.6404011413230186}",30,0,-47.31109116129335,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 0}",0
83,False,"{'a': 0.5645402751688309, 'e': 0.6351078095649342}",30,0,-81.12460600490404,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
84,False,"{'a': 0.5598179981876895, 'e': 0.6297952479611502}",25,17,16.23906472850136,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5550797114501291, 'e': 0.6244646753813948}",20,3,-80.9767879525956,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
86,False,"{'a': 0.5503264940620538, 'e': 0.6191173058198101}",20,7,-3.8358712288598897,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.5455594204024126, 'e': 0.6137543479527137}",20,14,0.24737699161124937,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5407795597357988, 'e': 0.6083770047027731}",20,0,-37.61206841332589,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
89,False,"{'a': 0.5359879758309319, 'e': 0.6029864728097978}",25,8,11.528285633594262,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.531185726585198, 'e': 0.5975839424083471}",30,0,-94.45387303226448,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
91,False,"{'a': 0.5263738636554215, 'e': 0.5921705966123485}",20,0,-52.73551502671084,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
92,False,"{'a': 0.521553432095032, 'e': 0.5867476111069104}",25,0,7.0109737437310224,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.5167254699977871, 'e': 0.5813161537475099}",20,0,-30.24793608546834,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
94,False,"{'a': 0.5118910081482027, 'e': 0.5758773841667273}",20,7,-6.268833061645066,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.5070510696788401, 'e': 0.5704324533886943}",30,0,-38.59737277492671,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
96,False,"{'a': 0.50220666973459, 'e': 0.5649825034514131}",20,16,7.566539990064285,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.49735881514408875, 'e': 0.5595286670370991}",35,18,-60.70280502926942,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 1}",1
98,False,"{'a': 0.49250850409839453, 'e': 0.5540720671106931}",20,4,-63.36740451504892,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
99,False,"{'a': 0.48765672583704833, 'e': 0.5486138165666786}",20,15,-2.02156113039333,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.4828044603416334, 'e': 0.5431550178843367}",35,10,23.61751867250217,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.4779526780369442, 'e': 0.5376967627915614}",20,8,22.104890862313965,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.47310233949986863, 'e': 0.5322401319373514}",25,16,15.335957823813635,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
