trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
53,False,"{'a': 0.6933339182577808, 'e': 0.7800006580400027}",20,0,-89.85019368071156,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
54,False,"{'a': 0.6896000057363996, 'e': 0.7758000064534488}",20,0,-42.27999023854292,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
55,False,"{'a': 0.6858176168091665, 'e': 0.7715448189103117}",20,0,-85.28603450530025,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
56,False,"{'a': 0.6819877717299136, 'e': 0.7672362431961522}",20,0,-30.838778771974063,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
57,False,"{'a': 0.6781114993024733, 'e': 0.7628754367152818}",20,6,-26.637839928919274,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
58,False,"{'a': 0.6741898364225927, 'e': 0.7584635659754162}",30,11,-51.335075806739795,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.6702238276183956, 'e': 0.7540018060706946}",20,0,-43.99591903994322,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.6662145245896732, 'e': 0.7494913401633819}",20,10,-48.098739338005245,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
61,False,"{'a': 0.6621629857462874, 'e': 0.7449333589645729}",30,15,6.598964483253614,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.6580702757459674, 'e': 0.7403290602142129}",25,18,9.239085523049457,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.65393746503178, 'e': 0.7356796481607519}",20,8,-92.67684585029235,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 2}",1
64,False,"{'a': 0.6497656293695517, 'e': 0.7309863330407451}",20,3,2.309156194207838,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.645555849385521, 'e': 0.7262503305587106}",30,4,-97.47946430199526,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 2}",1
66,False,"{'a': 0.6413092101044934, 'e': 0.7214728613675545}",20,0,-51.43920409127335,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.6370268004887746, 'e': 0.7166551505498708}",20,0,4.122234650926202,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
68,False,"{'a': 0.6327097129781514, 'e': 0.7117984271004197}",30,7,-13.396241186602605,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
69,False,"{'a': 0.6283590430311885, 'e': 0.7069039234100865}",20,0,-31.057017913644668,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
70,False,"{'a': 0.6239758886681067, 'e': 0.7019728747516194}",25,0,-105.40619974960829,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
71,False,"{'a': 0.6195613500155055, 'e': 0.697006518767443}",25,0,-67.72123435866605,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
72,False,"{'a': 0.615116528853189, 'e': 0.692006094959837}",25,0,-140.28253774864424,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
73,False,"{'a': 0.6106425281633524, 'e': 0.6869728441837708}",25,0,-51.14464861759976,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
74,False,"{'a': 0.6061404516823802, 'e': 0.681908008142677}",20,6,-8.329709553182003,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.6016114034555068, 'e': 0.6768128288874444}",25,0,-172.97501873324106,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
76,False,"{'a': 0.5970564873945846, 'e': 0.671688548318907}",25,5,-26.47476739439317,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",1
77,False,"{'a': 0.5924768068392006, 'e': 0.6665364076940999}",20,0,-49.88502968451011,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
78,False,"{'a': 0.5878734641213782, 'e': 0.6613576471365499}",25,0,-155.80013494715064,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
79,False,"{'a': 0.5832475601340997, 'e': 0.6561535051508616}",20,0,-40.933845175486,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
80,False,"{'a': 0.5786001939038746, 'e': 0.6509252181418583}",20,0,-0.4964572062161423,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.5739324621675805, 'e': 0.6456740199385276}",20,3,-10.95748108339086,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
82,False,"{'a': 0.5692454589537949, 'e': 0.6404011413230186}",25,2,-187.2666860039814,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 4}",1
83,False,"{'a': 0.5645402751688309, 'e': 0.6351078095649342}",25,0,-94.79602341597632,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
84,False,"{'a': 0.5598179981876895, 'e': 0.6297952479611502}",20,9,-46.05446811432252,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
85,False,"{'a': 0.5550797114501291, 'e': 0.6244646753813948}",25,1,-97.76030566802761,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 1}",1
86,False,"{'a': 0.5503264940620538, 'e': 0.6191173058198101}",30,0,-75.88271271258436,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
87,False,"{'a': 0.5455594204024126, 'e': 0.6137543479527137}",30,0,-160.60964551338293,"{0: 20, 1: 0, 2: 7, 3: 0, 4: 3}",0
88,False,"{'a': 0.5407795597357988, 'e': 0.6083770047027731}",20,0,-37.994259456753085,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
89,False,"{'a': 0.5359879758309319, 'e': 0.6029864728097978}",20,0,-8.919246981323164,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
90,False,"{'a': 0.531185726585198, 'e': 0.5975839424083471}",20,0,-26.417244281966138,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 0.5263738636554215, 'e': 0.5921705966123485}",30,12,-32.07281050707363,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
92,False,"{'a': 0.521553432095032, 'e': 0.5867476111069104}",20,2,-33.30686538124178,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
93,False,"{'a': 0.5167254699977871, 'e': 0.5813161537475099}",20,3,-50.1542749730579,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
94,False,"{'a': 0.5118910081482027, 'e': 0.5758773841667273}",30,17,-95.21686407793092,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 2}",1
95,False,"{'a': 0.5070510696788401, 'e': 0.5704324533886943}",25,16,6.281530091788653,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.50220666973459, 'e': 0.5649825034514131}",20,0,-51.80924023593298,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
